dan	d a n
yang	j a ŋ
di	d i
pada	p a d a
dengan	d ə ŋ a n
dari	d a r i
untuk	u n t u ʔ
ini	i n i
dalam	d a l a m
adalah	a d a l a h
tahun	t a h u n
sebagai	s ə b a ɡ a j
oleh	o l e h
ke	k ə
menjadi	m ə n d͡ʒ a d i
tidak	t i d a ʔ
juga	d͡ʒ u ɡ a
atau	a t a w
indonesia	i n d o n e s i a
ia	i a
itu	i t u
desa	d e s a
mereka	m ə r e k a
kota	k o t a
sebuah	s ə b u a h
merupakan	m ə r u p a k a n
tersebut	t ə r s ə b u t
memiliki	m ə m i l i k i
dapat	d a p a t
satu	s a t u
lebih	l ə b i h
karena	k a r n a
bahwa	b a h w a
telah	t ə l a h
seperti	s ə p ə r t i
orang	o r a ŋ
setelah	s ə t ə l a h
akan	a k a n
secara	s ə t͡ʃ a r a
kecamatan	k ə t͡ʃ a m a t a n
beberapa	b ə b ə r a p a
luar	l u a r
bahasa	b a h a s a
saat	s a a t
kemudian	k ə m u d i a n
wilayah	w i l a j a h
besar	b ə s a r
ada	ʔ a d a
pertama	p ə r t a m a
lain	l a i n
nama	n a m a
antara	a n t a r a
banyak	b a ɲ a ʔ
seorang	s ə o r a ŋ
film	f i l ə m
s	e s
negara	n ə ɡ a r a
kabupaten	k a b u p a t e n
dunia	d u n i a
salah	s a l a h
bagian	b a ɡ i a n
dia	d i a
tetapi	t ə t a p i
para	p a r a
dua	d u a
a	a
atas	a t a s
yaitu	j a i t u
barat	b a r a t
pranala	p r a n a l a
amerika	a m e r i k a
baru	b a r u
jawa	d͡ʒ a w a
timur	t i m u r
hingga	h i ŋ ɡ a
daerah	d a e r a h
selatan	s ə l a t a n
kepada	k ə p a d a
digunakan	d i ɡ u n a k a n
hanya	h a ɲ a
tanggal	t a ŋ ɡ a l
namun	n a m u n
serta	s ə r t a
referensi	r e f ə r e n s i
lainnya	l a i n ɲ a
m	e m
ketika	k ə t i k a
air	a i r
selama	s ə l a m a
utara	u t a r a
masa	m a s a
menggunakan	m ə ŋ ɡ u n a k a n
sangat	s a ŋ a t
hari	h a r i
tempat	t ə m p a t
kembali	k ə m b a l i
sejak	s ə d͡ʒ a k
penduduk	p ə n d u d u k
sekitar	s ə k i t a r
perang	p e r a ŋ
serikat	s ə r i k a t
kedua	k ə d u a
tinggi	t i ŋ ɡ i
sehingga	s ə h i ŋ ɡ a
sampai	s a m p a j
jepang	d͡ʒ ə p a ŋ
terdapat	t ə r d a p a t
disebut	d i s ə b u t
provinsi	p r o v i n s i
bulan	b u l a n
sama	s a m a
tengah	t ə ŋ a h
terletak	t ə r l ə t a k
sejarah	s ə d͡ʒ a r a h
utama	u t a m a
termasuk	t ə r m a s u k
masih	m a s i h
hal	h a l
inggris	i ŋ ɡ r i s
kali	k a l i
sistem	s i s t ə m
terhadap	t ə r h a d a p
anggota	a ŋ ɡ o t a
mulai	m u l a i
album	a l b u m
berada	b ə r a d a
suatu	s u a t u
bisa	b i s a
waktu	w a k t u
bagi	b a ɡ i
negeri	n ə ɡ ə r i
pula	p u l a
pulau	p u l a w
dikenal	d i k ə n a l
i	i
bersama	b ə r s a m a
masyarakat	m a ʃ a r a k a t
tentang	t ə n t a ŋ
laut	l a u t
sudah	s u d a h
lagu	l a ɡ u
perusahaan	p ə r u s a h a a n
anak	a n a k
melalui	m ə l a l u i
membuat	m ə m b u a t
berbagai	b ə r b a ɡ a j
nasional	n a s i o n a l
pemerintah	p ə m ə r i n t a h
raja	r a d͡ʒ a
semua	s ə m u a
belanda	b ə l a n d a
resmi	r ə s m i
awal	a w a l
umum	u m u m
tiga	t i ɡ a
terjadi	t ə r d͡ʒ a d i
rumah	r u m a h
sendiri	s ə n d i r i
jumlah	d͡ʒ u m l a h
pendidikan	p ə n d i d i k a n
tokoh	t o k o h
musim	m u s i m
paling	p a l i ŋ
sebagian	s ə b a ɡ i a n
bawah	b a w a h
km	k a e m
sungai	s u ŋ a j
universitas	u n i v ə r s i t a s
selain	s ə l a i n
kecil	k ə t͡ʃ i l
pusat	p u s a t
jerman	d͡ʒ e r m a n
baik	b a i k
abad	a b a d
sekolah	s ə k o l a h
kerajaan	k ə r a d͡ʒ a a n
pernah	p ə r n a h
presiden	p r e s i d e n
pemerintahan	p ə m ə r i n t a h a n
prancis	p r a n t͡ʃ i s
musik	m u s i k
tim	t i m
tanah	t a n a h
