ฺ	truncated:<Fail>ฺ</Fail>
หฺ	truncated:<Fail>หฺ</Fail>
ทํา	truncated:ทำ
ยฺเหวียน	truncated:<Fail>ยฺเหวียน</Fail>
จฺ	truncated:<Fail>จฺ</Fail>
คํา	truncated:คำ
สฺ	truncated:<Fail>สฺ</Fail>
พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช	inventory:no tone digit: 'dun'
จํา	truncated:จำ
ยฺ	truncated:<Fail>ยฺ</Fail>
จฺวิ้น	truncated:<Fail>จฺวิ้น</Fail>
ฮฺ	truncated:<Fail>ฮฺ</Fail>
อํา	truncated:อำ
สํา	truncated:สำ
ป์เฟซ	truncated:เฟซ
กําหนด	truncated:กำหนด
ว่	truncated:<Fail>ว่</Fail>
นํา	truncated:นำ
ตําบล	truncated:ตำบล
ยฺวี่	truncated:<Fail>ยฺวี่</Fail>
ตํา	truncated:ตำ
ยฺห	truncated:<Fail>ยฺห</Fail>
ฺต	truncated:<Fail>ฺต</Fail>
ฺว่	truncated:<Fail>ฺว่</Fail>
ย่	truncated:<Fail>ย่</Fail>
ดํา	truncated:ดำ
ป็น	truncated:<Fail>ป็น</Fail>
อะแซหวุ่นกี้	inventory:bad body: 'sɛː-' in 'sɛː-˧'
จํานวน	truncated:จำนวน
ย่ว	truncated:<Fail>ย่ว</Fail>
ฺว	truncated:<Fail>ฺว</Fail>
ตฺ	truncated:<Fail>ตฺ</Fail>
ลด์แทรฟ	truncated:แทรฟ
ท์เตอร์	truncated:เตอร์
ลฺ	truncated:<Fail>ลฺ</Fail>
โลห	inventory:bad body: 'loː-' in 'loː-˧'
เปลื่ยน	truncated:<Fail>เปลื่ยน</Fail>
สํ	truncated:<Fail>สํ</Fail>
ฺม	truncated:<Fail>ฺม</Fail>
ด์วอทช์	truncated:วอทช์
นํ้า	truncated:<Fail>นํ้า</Fail>
ฌอร์ฌ	inventory:bad body: 'tɕʰɔː-' in 'tɕʰɔː-˧'
สฺส	truncated:<Fail>สฺส</Fail>
