เตอร์	tɤː˥˩	˧	˥˩
เจอร์	tɕɤː˥˩	˧	˥˩
เรต	reːt̚˨˩	˥˩	˨˩
มาร์ก	maːk̚˦˥	˥˩	˦˥
เคอร์	kʰɔː˥˩	˧	˥˩
เทค	tʰeːk̚˦˥	˥˩	˦˥
เลส	leːt̚˨˩	˥˩	˨˩
เอ็ก	ʔek̚˦˥	˨˩	˦˥
เลต	leːt̚˦˥	˥˩	˦˥
นาร์	naː˥˩	˧	˥˩
เนต	neːt̚˨˩	˥˩	˨˩
ชาร์ท	tɕʰaːt̚˦˥	˥˩	˦˥
มาตย์	maːt̚˨˩	˥˩	˨˩
เหอหนาน	naːn˧	˩˩˦	˧
ไฟต์	faj˦˥	˧	˦˥
เลนินกราด	kraːt̚˨˩	˥˩	˨˩
เน่	neː˨˩	˥˩	˨˩
นิกส์	nik̚˨˩	˦˥	˨˩
เดียม	diam˥˩	˧	˥˩
ปีกซ้าย	piː˧	˥˩	˧
เฮิรตซ์	hɤːt̚˦˥	˥˩	˦˥
แล็ก	lɛːk̚˦˥	˥˩	˦˥
สาปแช่ง	saː˩˩˦	˨˩	˩˩˦
เซียะ	sia˥˩	˧	˥˩
มูฟวี่	muː˧	˥˩	˧
ลัวะ	lua˥˩	˧	˥˩
เฟต	feːt̚˨˩	˥˩	˨˩
ปรินซ์	prin˦˥	˧	˦˥
ทไธสง	soŋ˩˩˦	˧	˩˩˦
เมียะ	mia˥˩	˧	˥˩
เรตต์	reːt̚˨˩	˥˩	˨˩
มีดสั้น	miː˧	˦˥	˧
สุดซึ้ง	suʔ˨˩	˥˩	˨˩
ฟิชชั่น	fiʔ˦˥	˥˩	˦˥
สามช่า	saː˩˩˦	˨˩	˩˩˦
สงบนิ่ง	soŋ˩˩˦	˨˩	˩˩˦
แทป	tʰɛːp̚˦˥	˥˩	˦˥
ฑุ	duʔ˨˩	˦˥	˨˩
สายโซ่	saː˩˩˦	˨˩	˩˩˦
เลขคี่	leː˧	˥˩	˧
ใหญ	jaj˧	˩˩˦	˧
เยียะ	jia˥˩	˧	˥˩
ฑิต	dit̚˨˩	˦˥	˨˩
แซนดี้	sɛː˧	˦˥	˧
เลียะห์	lia˥˩	˧	˥˩
อิบโค้	ʔiʔ˨˩	˥˩	˨˩
เบียม	biam˥˩	˧	˥˩
เฮียะ	hia˥˩	˧	˥˩
ชตุทท์การ์ท	kaːt̚˨˩	˥˩	˨˩
เหียะ	hia˨˩	˩˩˦	˨˩
เนค	neːk̚˦˥	˥˩	˦˥
สาดส่อง	saː˩˩˦	˨˩	˩˩˦
ใหม	maj˧	˩˩˦	˧
ใหม้	maj˦˥	˥˩	˦˥
มารค	maːk̚˦˥	˥˩	˦˥
เรียะ	ria˥˩	˧	˥˩
เวดดิ้ง	weː˧	˦˥	˧
เอ็กซเรย์	ʔek̚˦˥	˨˩	˦˥
กดัญสก์	sɔː˩˩˦	˧	˩˩˦
ฮอส	hɔːt̚˦˥	˥˩	˦˥
ญัติ	jat̚˨˩	˦˥	˨˩
คย็องบก	bok̚˨˩	˦˥	˨˩
เร็จ	ret̚˨˩	˦˥	˨˩
เซสชั่น	seː˧	˥˩	˧
เอคโค่	ʔeː˧	˨˩	˧
รอซโซ่	rɔː˧	˥˩	˧
แมดดี้	mɛː˧	˦˥	˧
เงียมฬ่อ	ŋia˧	˥˩	˧
คลาร์ค	kʰlaːk̚˦˥	˥˩	˦˥
ใหน	naj˧	˩˩˦	˧
เวือะ	wɯa˥˩	˧	˥˩
ทธัตถ	tʰɔː˩˩˦	˧	˩˩˦
รากค้ำ	raː˧	˦˥	˧
เจ่กตอ	tɔː˧	˨˩	˧
อโซน่า	naː˥˩	˨˩	˥˩
ฟรอเซ่	fon˧	˥˩	˧
เอียะ	ʔia˨˩	˧	˨˩
เสียะ	sia˨˩	˩˩˦	˨˩
ทเทิลส์บัค	bak̚˨˩	˦˥	˨˩
เอนดิ้ง	ʔeː˧	˥˩	˧
ขาวผ่อง	kʰaː˩˩˦	˨˩	˩˩˦
