dataset	docs	thai_chars	token_coverage	unknown_char_rate	top_oov
pythainlp/thai_food_v1.0	159	112580	0.9977	0.1554%	คึ่(10) ค่(8) คื่(5) ก้(3) นึ่(3) ๅ(2) เกี้(2) น่(2) น้(2) ร็(1)
pythainlp/thailaw-v1.0	506	3013799	1.0000	0.0008%	รื(2) เงิ(1) เวั(1) ว่(1) เกิ(1) อ้(1) บัติ่(1) ใแบ(1)
pythainlp/thai-wiki-dataset-v3	477	3015946	0.9989	0.0490%	ฺ(126) เ(15) ด็(11) เซี้(10) บุ้(8) เส็(8) ฮิ้(8) ว็(7) นึ(7) จ์(6)
pythainlp/thaisum	800	1868701	0.9992	0.0467%	แม็(18) จ์(10) ณั(10) ญ์(7) ฺ(7) เที(6) แ(5) เห้(5) ธ์ุ(5) ฎ์(5)
pythainlp/thai-oldbooks	14	4594557	0.9945	0.3109%	ฺ(1656) ณ์(409) สุ์(263) โศ(249) รั่(196) ร้(167) รื้(160) ปิ้(128) รั(116) นํ(113)
pythainlp/thai-tnhc2-books	18	3062961	0.9938	0.4182%	วิา(525) ใม่(315) ณ์(159) เฃา(137) สั(63) ต๋(59) จิ่(51) ว้ำ(51) น่(48) ล้(46)
pythainlp/tlcv2.0_oa	118	3020149	0.9957	0.2987%	ฃ้า(596) ณ์(197) ริ้(130) โศ(122) รื้(117) สุ์(108) รั่(90) ตั(71) ฑ์(63) ร็(61)
pythainlp/thai-constitution-corpus	20	1086014	1.0000	0.0015%	รั(3) ผั(2) ฉั(2) เษ(1)
pythainlp/thai-cc-license	6	75110	0.9998	0.0133%	ได้่(1) ที่่(1) ผ้(1)
pythainlp/thai-culturax-clean-dataset	800	1595656	0.9983	0.0895%	฿(59) ฺ(45) เฟ่(17) เป๊(15) ร็(11) บั(10) ษ์(9) จ์(8) ติ๊(7) เ(6)
pythainlp/thai-it-books	7	389610	0.9996	0.0221%	อ๊(6) ลั(4) ภ์(4) เผิ(3) เบี้(2) รื(2) ฿(2) ไล์(2) แ(2) เให้(1)
pythainlp/thai-open-data-go-th	800	533331	0.9983	0.1069%	ยุ๋(8) ด้(8) บื๋(7) ม้(7) โว้(6) ล๊ะ(5) จ๋(5) ลุ้(5) ภั(5) โฮ้(4)
pythainlp/prd_news_30112023	800	1047280	0.9994	0.0281%	ฺ(11) ฉั(10) เส็(9) ธ์ุ(7) ฆ้(6) กื(6) โฮ้(3) ฐ์(3) เชิ(3) โด๊(3)
pythainlp/thailand-policy-statements	60	980761	0.9998	0.0093%	ใชั(2) นั(2) ระะ(1) นั้(1) ล้(1) ฃึ้(1) ด้(1) ป้(1) เชี(1) พั(1)
pythainlp/goethe-website	15	75090	0.9988	0.0653%	เวื(6) เจ็(5) นั(4) ร็(2) ไ(1) เฮ็(1)
pythainlp/thaigov-corpus	800	2045894	0.9998	0.0121%	โด๊(8) ฺ(5) เพ้(4) รั(3) โต้ะ(3) ฑ์(3) ฿(3) ซื(2) บุ้(2) นู้(2)
pythainlp/thaigov-v2-corpus-31032024	800	2144641	0.9997	0.0150%	ฺ(9) ข์(8) ธ์ุ(5) รุ้(4) ร็(4) อั(4) ฐ์(4) ย้(4) ศั(3) เผ่(3)
pythainlp/thai-open-data-text-v1	21	654647	0.9997	0.0136%	ร้(6) ว่(3) เซิ(3) ลั(2) ณ์(2) เสิ(2) ฤา(2) ติา(1) ม่(1) เท้(1)
pythainlp/thai-financial-dataset	800	1501524	0.9997	0.0150%	ลิ้(11) ถ์(7) รั(6) ป็(4) พิ่(3) ฿(3) ง้(2) ราะ(2) ฟั(2) ธ์ุ(2)
pythainlp/jusci-website	800	886044	0.9991	0.0589%	ดึ๋(4) ร่(4) ฮ็(4) ป้(3) ต้(3) ไ้ด้(3) ลื(3) เล้(3) ราะ(2) ทัั้(2)
pythainlp/inquiringmind-website	151	460727	0.9986	0.0888%	วิั(4) เิ(4) เี(3) ติ่(3) ทีี่(3) อะะ(3) แ่(2) รู้่(2) แแบ(2) ไ่ด้(2)
pythainlp/blognone_news	800	647901	0.9996	0.0230%	บ็(12) ร็(12) เมิ(6) เจ็(5) แช็(4) ซ็(2) จ้(1) เพี(1) เ(1) ณ์(1)
wannaphong/KhanomTanLLM-pretrained-dataset-thai-subset	800	2588940	0.9961	0.1623%	฿(595) ฺ(199) เมี่(166) เ(123) ซั่(73) น้(65) รื(30) ไ(24) ค้(24) แ(23)
aisingapore/WangchanLION-Curated	471	3019620	0.9670	2.5453%	น่(539) ปั(515) ท่(500) บั(466) กัา(395) ขั(390) แลื่ะ(385) ขั้(372) ลื่(369) ป้(362)
aisingapore/WangchanLION-Web	800	2355576	0.9970	0.1685%	ต็(40) น่(39) อื(32) ฺ(29) นั(24) นู่(21) บั(20) อ้(19) ว้(16) งั(16)
