# Thai words with more than one recorded reading (WikiPron), most frequent first.
# class: sandhi = linking form inside a Pali/Sanskrit compound (positional, the
#   dictionary already carries it on the compound); tone-only / vowel-length =
#   two accepted transcriptions of one word; letter-names = the spelling-out
#   reading; REVIEW = none of those, so possibly a true heteronym.
# Only REVIEW rows need a human. For each, say whether the two readings mean
#   DIFFERENT things (write y) or are both acceptable for the same word (n),
#   and if y, list words that signal the second reading.
freq	word	class	ours	readings	different_meaning	cue_words
441119	โดย	sandhi	doːj˧	doːj˧ | doː˧ja˦˥		
212462	ก็	REVIEW	kɔː˥˩	kɔʔ˥˩ | kɔː˥˩		
202194	เขา	tone-only	kʰaw˩˩˦	kʰaw˦˥ | kʰaw˩˩˦		
135261	ประเทศ	sandhi	pra˨˩tʰeːt̚˥˩	pra˨˩tʰeːt̚˥˩ | pra˨˩tʰeːt̚˥˩sa˨˩		
109194	ไทย	sandhi	tʰaj˧	tʰaj˧ | tʰaj˧ja˦˥		
108266	หนึ่ง	tone-only	nɯŋ˨˩	nɯŋ˧ | nɯŋ˨˩		
101455	ส	sandhi	sɔː˩˩˦	sɔː˩˩˦ | sɔː˩˩˦sɯa̯˩˩˦		
70560	ปัจจุบัน	sandhi	pat̚˨˩tɕu˨˩ban˧	pat̚˨˩tɕu˨˩ban˧ | pat̚˨˩tɕu˨˩ban˧na˦˥		
70434	ล	sandhi	lɔː˧	lɔː˧ | lɔː˧liŋ˧		
69706	น	sandhi	nɔː˧	nɔː˧ | nɔː˧nuː˩˩˦		
52992	รัฐ	sandhi	rat̚˦˥	rat̚˦˥ | rat̚˦˥tʰa˨˩		
49038	ราช	sandhi	raːt̚˥˩	raːt̚˥˩ | raːt̚˥˩tɕʰa˦˥		
45238	บริษัท	tone-only	bɔː˧ri˦˥sat̚˨˩	bɔː˧ri˦˥sat̚˨˩ | bɔː˧ri˧sat̚˨˩		
42215	ได้แก่	vowel-length	daːj˥˩kɛː˨˩	daj˥˩kɛː˨˩ | daːj˥˩kɛː˨˩		
41412	ลักษณะ	tone-only	lak̚˦˥sa˨˩naʔ˨˩	lak̚˦˥sa˧naʔ˨˩ | lak̚˦˥sa˨˩naʔ˨˩		
40948	ณ	sandhi	naʔ˦˥	naʔ˦˥ | nɔː˧ | nɔː˧neːn˧		
40052	ท่าน	vowel-length	tʰan˥˩	tʰan˥˩ | tʰaːn˥˩		
39401	อ	sandhi	ʔɔː˧	ʔa˨˩ | ʔɔː˧ | ʔɔː˧ʔaːŋ˨˩		
37132	เจ้า	vowel-length	tɕaːw˥˩	tɕaw˥˩ | tɕaːw˥˩		
34416	อดีต	sandhi	ʔa˨˩diːt̚˨˩	ʔa˨˩diːt̚˨˩ | ʔa˨˩diːt̚˨˩ta˨˩		
32109	ฟุตบอล	REVIEW	fut̚˦˥bɔn˧	fut̚˦˥bɔl˧ | fut̚˦˥bɔn˧		
31795	พรรค	sandhi	pʰak̚˦˥	pʰak̚˦˥ | pʰak̚˦˥kʰa˦˥		
31646	ภาค	sandhi	pʰaːk̚˥˩	pʰaːk̚˥˩ | pʰaːk̚˥˩kʰa˦˥		
31251	น้ำ	vowel-length	naːm˦˥	nam˦˥ | naːm˦˥		
31094	ชาติ	sandhi	tɕʰaːt̚˥˩	tɕʰaːt̚˥˩ | tɕʰaːt̚˥˩ti˨˩ | tɕʰaː˧ti˨˩		
30949	ประวัติ	sandhi	pra˨˩wat̚˨˩	pra˨˩wat̚˨˩ | pra˨˩wat̚˨˩ti˨˩		
30558	อัลบั้ม	REVIEW	ʔa˨˩la˦˥bam˥˩	ʔal˧bam˥˩ | ʔaː˧la˦˥bam˥˩		
29302	รูป	sandhi	ruːp̚˥˩	ruːp̚˥˩ | ruːp̚˥˩pa˨˩		
29212	ผล	sandhi	pʰon˩˩˦	pʰon˩˩˦ | pʰon˩˩˦la˦˥		
28636	ค	sandhi	kʰɔː˧	kʰɔː˧ | kʰɔː˧kʰwaːj˧		
27805	ปรากฏ	sandhi	praː˧kot̚˨˩	praː˧kot̚˨˩ | praː˧kot̚˨˩ta˨˩		
27482	ก	sandhi	kɔː˧	kɔː˧ | kɔː˧kaj˨˩		
27370	บาท	sandhi	baːt̚˨˩	baːt̚˨˩ | baːt̚˨˩tʰa˦˥		
27152	กรกฎาคม	REVIEW	ka˨˩ra˦˥ka˨˩daː˧kʰom˧	ka˨˩rak̚˦˥ka˨˩daː˧kʰom˧ | ka˨˩ra˦˥ka˨˩daː˧kʰom˧		
27046	มหา	tone-only	ma˦˥haː˩˩˦	ma˦˥haː˩˩˦ | ma˧haː˩˩˦		
26774	มกราคม	REVIEW	mok̚˦˥ka˨˩raː˧kʰom˧	ma˦˥ka˨˩raː˧kʰom˧ | mok̚˦˥ka˨˩raː˧kʰom˧		
26739	ต	sandhi	tɔː˧	tɔː˧ | tɔː˧taw˨˩		
26538	ภาพ	sandhi	pʰaːp̚˥˩	pʰaːp̚˥˩ | pʰaːp̚˥˩pʰa˦˥		
26496	สมาชิก	sandhi	sa˨˩maː˧tɕʰik̚˦˥	sa˨˩maː˧tɕʰik̚˦˥ | sa˨˩maː˧tɕʰik̚˦˥ka˨˩		
26118	ง	sandhi	ŋɔː˧	ŋɔː˧ | ŋɔː˧ŋuː˧		
24912	โด	tone-only	doː˧	doː˧ | doː˨˩		
24651	ด	sandhi	dɔː˧	dɔː˧ | dɔː˧dek̚˨˩		
23541	บุคคล	sandhi	buk̚˨˩kʰon˧	buk̚˨˩kʰa˦˥la˦˥ | buk̚˨˩kʰon˧ | buk̚˨˩kʰon˧la˦˥		
23153	ช	sandhi	tɕʰɔː˧	tɕʰɔː˧ | tɕʰɔː˧tɕʰaːŋ˦˥		
