ใน	naj˧
และ	lɛʔ˦˥
ที่	tʰiː˥˩
ของ	kʰɔːŋ˩˩˦
เป็น	pen˧
มี	miː˧
ได้	daːj˥˩
การ	kaːn˧
โดย	doːj˧
ว่า	waː˥˩
ให้	haj˥˩
จะ	tɕaʔ˨˩
กับ	kap̚˨˩
จาก	tɕaːk̚˨˩
ซึ่ง	sɯŋ˥˩
ไม่	maj˥˩
ปี	piː˧
ไป	paj˧
เมื่อ	mɯa˥˩
มา	maː˧
หรือ	rɯː˩˩˦
พระ	pʰraʔ˦˥
นี้	niː˦˥
อยู่	juː˨˩
ก็	kɔː˥˩
เขา	kʰaw˩˩˦
แต่	tɛː˨˩
ใช้	tɕʰaj˦˥
คือ	kʰɯː˧
วันที่	wan˧ tʰiː˥˩
ถูก	tʰuːk̚˨˩
ด้วย	duaj˥˩
คน	kʰon˧
ทาง	tʰaːŋ˧
เพื่อ	pʰɯa˥˩
ได้รับ	daːj˥˩ rap̚˦˥
แห่ง	hɛŋ˨˩
ยัง	jaŋ˧
จึง	tɕɯŋ˧
อย่าง	jaːŋ˨˩
ขึ้น	kʰɯn˥˩
นั้น	nan˦˥
เมือง	mɯaŋ˧
ประเทศ	pra˨˩ tʰeːt̚˥˩
ผู้	pʰuː˥˩
แล้ว	lɛːw˦˥
ถึง	tʰɯŋ˩˩˦
สามารถ	saː˩˩˦ maːt̚˥˩
ไทย	tʰaj˧
หนึ่ง	nɯŋ˨˩
ทำให้	tʰam˧ haj˥˩
ตาม	taːm˧
ชื่อ	tɕʰɯː˥˩
กัน	kan˧
ส	sɔː˩˩˦
สร้าง	saːŋ˥˩
เธอ	tʰɤː˧
ต่อ	tɔː˨˩
ทรง	soŋ˧
เรื่อง	rɯaŋ˥˩
แบบ	bɛːp̚˨˩
ออก	ʔɔːk̚˨˩
ชาว	tɕʰaːw˧
ระหว่าง	ra˦˥ waːŋ˨˩
ทั้ง	tʰaŋ˦˥
ต้อง	tɔŋ˥˩
เกิด	kɤːt̚˨˩
ต่อมา	tɔː˨˩ maː˧
สำหรับ	sam˩˩˦ rap̚˨˩
เดือน	dɯan˧
จังหวัด	tɕaŋ˧ wat̚˨˩
ความ	kʰwaːm˧
อีก	ʔiːk̚˨˩
ทำ	tʰam˧
มาก	maːk̚˥˩
ทีม	tʰiːm˧
แรก	rɛːk̚˥˩
เช่น	tɕʰen˥˩
พระองค์	pʰra˦˥ ʔoŋ˧
ส่วน	suan˨˩
เพลง	pʰleːŋ˧
ริ	riʔ˦˥
วัด	wat̚˦˥
ไว้	waj˦˥
กลุ่ม	klum˨˩
ปัจจุบัน	pat̚˨˩ tɕu˨˩ ban˧
ล	lɔː˧
ลง	loŋ˧
ช่วง	tɕʰuaŋ˥˩
นา	naː˧
ด้าน	daːn˥˩
น	nɔː˧
เข้า	kʰaw˥˩
ตัว	tua˧
เรียก	riak̚˥˩
ใหม่	maj˨˩
พบ	pʰop̚˦˥
บน	bon˧
หลาย	laːj˩˩˦
ที่สุด	tʰiː˥˩ sut̚˨˩
อำเภอ	ʔam˧ pʰɤː˧
มิ	miʔ˦˥
